ds,yhat
2025-04-17,5104.191742848999
2025-04-18,0.0
2025-04-19,6061.414997088455
2025-04-20,0.0
2025-04-21,0.0
2025-04-22,4773.097831082453
2025-04-23,4664.834053317752
2025-04-24,4764.191165559977
2025-04-25,5293.064842115593
2025-04-26,5693.8880308587395
2025-04-27,0.0
2025-04-28,4247.364461584162
2025-04-29,4419.152475986793
2025-04-30,4329.892853297986
2025-05-01,0.0
2025-05-02,5015.2200414543795
2025-05-03,5452.6291901817185
2025-05-04,0.0
2025-05-05,4090.5165597513924
2025-05-06,4307.884824886809
2025-05-07,4264.861925320408
2025-05-08,4435.487522766882
2025-05-09,5039.79612575554
2025-05-10,5518.2575503636635
2025-05-11,0.0
2025-05-12,4225.600476468318
2025-05-13,4469.6969354276935
2025-05-14,4447.222370220539
2025-05-15,4631.8106369914
2025-05-16,5243.287575341264
2025-05-17,5722.115936999688
2025-05-18,0.0
2025-05-19,4410.752384666
2025-05-20,4636.724544624528
2025-05-21,4591.190213540019
2025-05-22,4748.643556926437
2025-05-23,5329.879523359175
2025-05-24,5776.408040638702
2025-05-25,0.0
2025-05-26,4398.648558744096
2025-05-27,4592.708326504282
2025-05-28,4517.502717697953
2025-05-29,4648.462302829005
2025-05-30,5207.202581199687
2025-05-31,5635.913700274127
2025-06-01,0.0
2025-06-02,4238.459192953991
2025-06-03,4431.147157488074
2025-06-04,4360.247273893861
2025-06-05,4500.978835408063
2025-06-06,5074.5698798554
2025-06-07,5522.661002033672
2025-06-08,0.0
2025-06-09,4174.665151193338
2025-06-10,4395.716506913466
2025-06-11,4354.336297083191
2025-06-12,4524.748965535468
2025-06-13,5127.190979244783
2025-06-14,5602.347308307542
2025-06-15,0.0
2025-06-16,4299.667916149827
2025-06-17,4537.509238902874
2025-06-18,4508.258410232744
2025-06-19,4685.775906469722
2025-06-20,5290.107278182954
2025-06-21,5761.925679353193
2025-06-22,0.0
2025-06-23,4437.731629513296
2025-06-24,4658.239685625571
2025-06-25,4608.08662601687
2025-06-26,4761.903274648114
2025-06-27,5340.602319863699
2025-06-28,5785.791355386394
2025-06-29,0.0
2025-06-30,4409.228749939762
2025-07-01,4605.909667396101
2025-07-02,4534.689930656968
2025-07-03,4670.980344921396
2025-07-04,5236.349709703824
2025-07-05,5672.913459733852
2025-07-06,0.0
2025-07-07,4294.390346832038
2025-07-08,4497.8599274670105
2025-07-09,4438.370223776716
2025-07-10,4590.916210727691
2025-07-11,5176.472228489774
2025-07-12,5636.397200969834
2025-07-13,0.0
2025-07-14,4310.422489399787
2025-07-15,4540.980678134258
2025-07-16,4507.623458805786
2025-07-17,4684.201108415189
2025-07-18,5290.572688848349
2025-07-19,5767.049527519886
2025-07-20,0.0
2025-07-21,4457.7551301346475
2025-07-22,4687.004820323457
2025-07-23,4645.258974532703
2025-07-24,4806.148964100994
2025-07-25,5389.547311992836
2025-07-26,5836.01903702103
2025-07-27,0.0
2025-07-28,4447.8312980576075
2025-07-29,4629.870492066062
2025-07-30,4537.202680819986
2025-07-31,4644.778891367226
2025-08-01,5173.929440817614
2025-08-02,5566.776898711076
2025-08-03,0.0
2025-08-04,4079.68365574071
2025-08-05,4219.662341070647
2025-08-06,4091.905839407177
2025-08-07,4172.751540468592
2025-08-08,4684.747067977181
2025-08-09,5071.024225832271
2025-08-10,0.0
2025-08-11,3605.3433831424777
2025-08-12,3774.00852255924
2025-08-13,3686.8966727103007
2025-08-14,3819.9388480447324
2025-08-15,0.0
2025-08-16,4854.119418378365
2025-08-17,0.0
2025-08-18,3558.3274074342366
2025-08-19,3820.7532624042165
2025-08-20,3830.8000828718173
2025-08-21,4062.375145048954
2025-08-22,4735.219067727601
2025-08-23,5289.344731700792
2025-08-24,0.0
2025-08-25,4166.779320626328
2025-08-26,4503.617740882491
2025-08-27,4577.668789060168
2025-08-28,4861.41434893425
2025-08-29,5573.440554084073
2025-08-30,6152.9074457981005
2025-08-31,0.0
2025-09-01,5037.726519640368
2025-09-02,5356.572731846819
2025-09-03,5398.72079565672
2025-09-04,5637.473495110023
2025-09-05,6292.542739098961
2025-09-06,6804.489112092629
2025-09-07,0.0
2025-09-08,5529.321208264368
2025-09-09,5759.507953296688
2025-09-10,5709.945246037671
2025-09-11,5856.039960743499
2025-09-12,6419.588920603587
2025-09-13,6843.163416171203
2025-09-14,0.0
2025-09-15,5408.056401406993
2025-09-16,5569.872462167964
2025-09-17,5461.399583041401
2025-09-18,5558.989765219095
2025-09-19,6085.076754241703
2025-09-20,6482.547842649153
2025-09-21,0.0
2025-09-22,5028.957268670239
2025-09-23,5197.43506124516
2025-09-24,5105.104508709225
2025-09-25,5227.157122140439
2025-09-26,5784.655411457744
2025-09-27,6218.948859450669
2025-09-28,0.0
2025-09-29,4848.547434947613
2025-09-30,5059.935909356831
2025-10-01,5009.121677107952
2025-10-02,5169.695198113958
2025-10-03,5761.259279464922
2025-10-04,6223.889295676667
2025-10-05,0.0
2025-10-06,4889.0285287712795
2025-10-07,5106.311104547598
2025-10-08,5053.080459344613
2025-10-09,5203.006095649378
2025-10-10,5776.067010785504
2025-10-11,6212.999718787162
2025-10-12,0.0
2025-10-13,4809.097614547048
2025-10-14,4985.555311228211
2025-10-15,4889.265292552234
2025-10-16,4995.521454652001
2025-10-17,5525.9854749004935
2025-10-18,5923.08208541336
2025-10-19,0.0
2025-10-20,4454.253127397187
2025-10-21,4608.553558501013
2025-10-22,4498.63998537395
2025-10-23,4600.772223567184
2025-10-24,5137.312519685495
2025-10-25,5551.096183853711
2025-10-26,0.0
2025-10-27,4147.578907372175
2025-10-28,0.0
2025-10-29,4296.930957396655
2025-10-30,4464.206219157888
2025-10-31,5072.620982479277
2025-11-01,5563.455446925121
2025-11-02,0.0
2025-11-03,4322.558663290334
2025-11-04,4606.577173214245
2025-11-05,4633.338838831437
2025-11-06,4876.135870237827
2025-11-07,5554.215263665843
2025-11-08,6107.23910696485
2025-11-09,0.0
2025-11-10,4962.875448995061
2025-11-11,5279.175966834021
2025-11-12,5326.684978639416
2025-11-13,5578.441259714705
2025-11-14,6253.776000795195
2025-11-15,6792.7727878618225
2025-11-16,0.0
2025-11-17,5589.808733833915
2025-11-18,5863.924391009434
2025-11-19,5862.675969947366
2025-11-20,6060.869653644316
2025-11-21,6679.747142202967
2025-11-22,7161.389428508463
2025-11-23,0.0
2025-11-24,5849.091104678685
2025-11-25,6075.116476748629
2025-11-26,6032.540480540187
2025-11-27,6197.707821793478
2025-11-28,6793.142390080071
2025-11-29,7261.908578666361
2025-11-30,0.0
2025-12-01,5957.801653548796
2025-12-02,6205.105718222324
2025-12-03,6194.778198414046
2025-12-04,6402.334079934502
2025-12-05,7049.113533876898
2025-12-06,7576.670797493785
2025-12-07,0.0
2025-12-08,6405.044264556807
2025-12-09,6721.763389439589
2025-12-10,6779.8620239779175
2025-12-11,7052.428275881936
2025-12-12,7758.377207443555
2025-12-13,8336.907788735436
2025-12-14,0.0
2025-12-15,7233.967653623155
2025-12-16,7564.627121540504
2025-12-17,7621.037723947891
2025-12-18,7875.2066658162785
2025-12-19,8545.364976866224
2025-12-20,9070.450842926592
2025-12-21,0.0
2025-12-22,7808.812903291406
2025-12-23,8035.894727641813
2025-12-24,7974.39731059719
2025-12-25,0.0
2025-12-26,0.0
2025-12-27,9004.326644704117
2025-12-28,0.0
2025-12-29,7433.541780338165
2025-12-30,7505.817872389648
2025-12-31,7293.388470665579
